@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1393,'2018/02/18 22:46:25:329',29,216.394897,338.791077,54.700142,359.579773,353.459595,73.547485,419.792389,363.803833,75.34201,483.692383,366.30481,71.05912,551.198181,352.354004,60.576523,36.96,76.054468
1394,'2018/02/18 22:46:25:378',29,216.531357,338.828735,54.71254,359.869019,353.544006,73.557571,420.114441,363.907898,75.348511,483.987213,366.299896,71.063324,551.414734,352.367615,60.57888,36.96,76.054468
1395,'2018/02/18 22:46:25:430',29,216.788834,338.834473,54.726547,360.291046,353.674072,73.569672,420.489044,364.134766,75.360535,484.37973,366.34314,71.06974,551.649414,352.387878,60.587337,36.96,76.054468
1396,'2018/02/18 22:46:25:479',29,217.095322,338.737854,54.72916,360.55307,353.617249,73.582733,420.738892,364.07251,75.379601,484.65329,366.254028,71.091354,551.968201,352.357025,60.601479,36.96,76.054468
1397,'2018/02/18 22:46:25:529',29,217.389954,338.656036,54.721355,360.753784,353.440369,73.584518,420.999329,363.944153,75.38562,484.897583,366.080688,71.105064,552.224609,352.232239,60.614223,36.96,76.054468
1398,'2018/02/18 22:46:25:582',29,217.855438,338.455811,54.710442,361.142609,353.120087,73.575653,421.306793,363.666748,75.386459,485.175049,365.705994,71.11647,552.552124,351.934631,60.620895,36.96,76.054468
1399,'2018/02/18 22:46:25:629',29,217.973846,338.3797,54.70153,361.324646,352.965515,73.571991,421.441711,363.537231,75.386246,485.329468,365.50531,71.119118,552.703674,351.795532,60.619492,36.96,76.054468
1400,'2018/02/18 22:46:25:679',29,218.351166,338.277588,54.713242,361.76062,352.983917,73.580956,421.789825,363.666199,75.397575,485.653717,365.736969,71.124603,553.004395,352.15686,60.609795,36.96,76.054468
1401,'2018/02/18 22:46:25:729',29,219.060532,338.265625,54.744404,362.590942,353.445374,73.592873,422.383118,364.296021,75.405266,486.220093,366.812866,71.117622,553.506836,353.054932,60.566376,36.96,76.054468
1402,'2018/02/18 22:46:25:780',29,219.499649,338.51001,54.743374,363.024231,353.818848,73.578194,422.803131,364.703186,75.384201,486.726685,367.126831,71.089615,553.928528,353.243347,60.547382,36.96,76.054468
1403,'2018/02/18 22:46:25:829',29,219.840088,338.761292,54.730156,363.433594,354.147125,73.556992,423.276733,365.013611,75.355659,487.219238,367.304108,71.060791,554.347534,353.261902,60.533607,36.96,76.054468
1404,'2018/02/18 22:46:25:880',29,220.163086,338.937897,54.727333,363.865295,354.327057,73.540291,423.781372,365.149841,75.332367,487.721252,367.337067,71.036102,554.748901,353.151489,60.514095,36.96,76.054468
